#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.66e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.44912855|  PASSED  |4228600691
      diehard_operm5|   0|   1000000|     100|0.55361587|  PASSED  | 699636962
  diehard_rank_32x32|   0|     40000|     100|0.14261948|  PASSED  |2890563123
    diehard_rank_6x8|   0|    100000|     100|0.42012325|  PASSED  |2427698975
   diehard_bitstream|   0|   2097152|     100|0.36735742|  PASSED  |3506588698
        diehard_opso|   0|   2097152|     100|0.69786373|  PASSED  |4254494389
        diehard_oqso|   0|   2097152|     100|0.24100636|  PASSED  |1519661906
         diehard_dna|   0|   2097152|     100|0.06337856|  PASSED  |2804594817
diehard_count_1s_str|   0|    256000|     100|0.45940898|  PASSED  |4182763270
diehard_count_1s_byt|   0|    256000|     100|0.78884451|  PASSED  | 926373283
 diehard_parking_lot|   0|     12000|     100|0.63055103|  PASSED  |1787314782
    diehard_2dsphere|   2|      8000|     100|0.55976101|  PASSED  |2122857550
    diehard_3dsphere|   3|      4000|     100|0.84346675|  PASSED  |3712800200
     diehard_squeeze|   0|    100000|     100|0.90165509|  PASSED  | 130643788
        diehard_sums|   0|       100|     100|0.19251927|  PASSED  |2538279110
        diehard_runs|   0|    100000|     100|0.94659271|  PASSED  | 917074717
        diehard_runs|   0|    100000|     100|0.52339162|  PASSED  | 917074717
       diehard_craps|   0|    200000|     100|0.96856093|  PASSED  |1533866227
       diehard_craps|   0|    200000|     100|0.15662324|  PASSED  |1533866227
 marsaglia_tsang_gcd|   0|  10000000|     100|0.59000161|  PASSED  | 294853460
 marsaglia_tsang_gcd|   0|  10000000|     100|0.92984041|  PASSED  | 294853460
         sts_monobit|   1|    100000|     100|0.67448509|  PASSED  |1844376319
            sts_runs|   2|    100000|     100|0.40362978|  PASSED  | 987008997
          sts_serial|   1|    100000|     100|0.53515812|  PASSED  |4283778637
          sts_serial|   2|    100000|     100|0.07163459|  PASSED  |4283778637
          sts_serial|   3|    100000|     100|0.00109895|   WEAK   |4283778637
          sts_serial|   3|    100000|     100|0.13702649|  PASSED  |4283778637
          sts_serial|   4|    100000|     100|0.01299939|  PASSED  |4283778637
          sts_serial|   4|    100000|     100|0.95257060|  PASSED  |4283778637
          sts_serial|   5|    100000|     100|0.26548494|  PASSED  |4283778637
          sts_serial|   5|    100000|     100|0.97074761|  PASSED  |4283778637
          sts_serial|   6|    100000|     100|0.68597207|  PASSED  |4283778637
          sts_serial|   6|    100000|     100|0.99948584|   WEAK   |4283778637
          sts_serial|   7|    100000|     100|0.54257685|  PASSED  |4283778637
          sts_serial|   7|    100000|     100|0.67157771|  PASSED  |4283778637
