#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.33e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.87686726|  PASSED  |2295988764
      diehard_operm5|   0|   1000000|     100|0.04732791|  PASSED  | 306922379
  diehard_rank_32x32|   0|     40000|     100|0.58390801|  PASSED  | 950916806
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED  |1820687292
   diehard_bitstream|   0|   2097152|     100|0.15460600|  PASSED  |1899491313
        diehard_opso|   0|   2097152|     100|0.97225546|  PASSED  |1887811766
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  |2407179233
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  |2371640667
diehard_count_1s_str|   0|    256000|     100|0.67137202|  PASSED  | 889715928
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED  |3010838927
 diehard_parking_lot|   0|     12000|     100|0.61550204|  PASSED  |1949662868
    diehard_2dsphere|   2|      8000|     100|0.17627939|  PASSED  |4120883842
    diehard_3dsphere|   3|      4000|     100|0.35240489|  PASSED  |2597891786
     diehard_squeeze|   0|    100000|     100|0.97769193|  PASSED  | 680371170
        diehard_sums|   0|       100|     100|0.09129929|  PASSED  | 680205280
        diehard_runs|   0|    100000|     100|0.95357831|  PASSED  |1834610182
        diehard_runs|   0|    100000|     100|0.56488747|  PASSED  |1834610182
       diehard_craps|   0|    200000|     100|0.57483117|  PASSED  |3481929925
       diehard_craps|   0|    200000|     100|0.20436934|  PASSED  |3481929925
 marsaglia_tsang_gcd|   0|  10000000|     100|0.16964225|  PASSED  |3124749556
 marsaglia_tsang_gcd|   0|  10000000|     100|0.76374335|  PASSED  |3124749556
         sts_monobit|   1|    100000|     100|0.99336793|  PASSED  |1814808824
            sts_runs|   2|    100000|     100|0.98365243|  PASSED  | 581346060
          sts_serial|   1|    100000|     100|0.48633228|  PASSED  |3534458435
          sts_serial|   2|    100000|     100|0.09526275|  PASSED  |3534458435
          sts_serial|   3|    100000|     100|0.34647106|  PASSED  |3534458435
          sts_serial|   3|    100000|     100|0.68593105|  PASSED  |3534458435
          sts_serial|   4|    100000|     100|0.09194441|  PASSED  |3534458435
          sts_serial|   4|    100000|     100|0.47839877|  PASSED  |3534458435
          sts_serial|   5|    100000|     100|0.84523365|  PASSED  |3534458435
          sts_serial|   5|    100000|     100|0.07375802|  PASSED  |3534458435
          sts_serial|   6|    100000|     100|0.99655719|   WEAK   |3534458435
          sts_serial|   6|    100000|     100|0.90063195|  PASSED  |3534458435
          sts_serial|   7|    100000|     100|0.98987270|  PASSED  |3534458435
          sts_serial|   7|    100000|     100|0.95662460|  PASSED  |3534458435
          sts_serial|   8|    100000|     100|0.55656527|  PASSED  |3534458435
          sts_serial|   8|    100000|     100|0.08691976|  PASSED  |3534458435
          sts_serial|   9|    100000|     100|0.63809052|  PASSED  |3534458435
          sts_serial|   9|    100000|     100|0.70384807|  PASSED  |3534458435
          sts_serial|  10|    100000|     100|0.52768482|  PASSED  |3534458435
          sts_serial|  10|    100000|     100|0.93561328|  PASSED  |3534458435
          sts_serial|  11|    100000|     100|0.36282580|  PASSED  |3534458435
          sts_serial|  11|    100000|     100|0.24218372|  PASSED  |3534458435
          sts_serial|  12|    100000|     100|0.76047074|  PASSED  |3534458435
          sts_serial|  12|    100000|     100|0.67334706|  PASSED  |3534458435
          sts_serial|  13|    100000|     100|0.99685530|   WEAK   |3534458435
          sts_serial|  13|    100000|     100|0.49072982|  PASSED  |3534458435
          sts_serial|  14|    100000|     100|0.83582615|  PASSED  |3534458435
          sts_serial|  14|    100000|     100|0.07819401|  PASSED  |3534458435
          sts_serial|  15|    100000|     100|0.92692623|  PASSED  |3534458435
