Source: *external.ShieldedRandReader
19m15s: 227.96 Gb (202.11 Mb/s)
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  3.84e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.71904236|  PASSED  |1395117141
      diehard_operm5|   0|   1000000|     100|0.86824679|  PASSED  | 242167530
  diehard_rank_32x32|   0|     40000|     100|0.39858273|  PASSED  |2434217478
    diehard_rank_6x8|   0|    100000|     100|0.35318875|  PASSED  |4239699380
   diehard_bitstream|   0|   2097152|     100|0.56101078|  PASSED  | 259323688
        diehard_opso|   0|   2097152|     100|0.26017732|  PASSED  |3162394216
        diehard_oqso|   0|   2097152|     100|0.42952368|  PASSED  |4177688670
         diehard_dna|   0|   2097152|     100|0.40462041|  PASSED  |1597204013
diehard_count_1s_str|   0|    256000|     100|0.23493647|  PASSED  |4114377523
diehard_count_1s_byt|   0|    256000|     100|0.73314397|  PASSED  |2759650940
 diehard_parking_lot|   0|     12000|     100|0.98287267|  PASSED  |3196803477
    diehard_2dsphere|   2|      8000|     100|0.60159890|  PASSED  |1516213870
    diehard_3dsphere|   3|      4000|     100|0.43971306|  PASSED  |3811133518
     diehard_squeeze|   0|    100000|     100|0.87618298|  PASSED  |1040366620
        diehard_sums|   0|       100|     100|0.31658627|  PASSED  |2307171617
        diehard_runs|   0|    100000|     100|0.45976647|  PASSED  |1286810061
        diehard_runs|   0|    100000|     100|0.67278502|  PASSED  |1286810061
       diehard_craps|   0|    200000|     100|0.12898125|  PASSED  |1282384869
       diehard_craps|   0|    200000|     100|0.45318313|  PASSED  |1282384869
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20168988|  PASSED  | 528770011
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96207619|  PASSED  | 528770011
         sts_monobit|   1|    100000|     100|0.68057380|  PASSED  | 192644735
            sts_runs|   2|    100000|     100|0.99080716|  PASSED  | 117200539
          sts_serial|   1|    100000|     100|0.87349618|  PASSED  |3340680650
          sts_serial|   2|    100000|     100|0.20940310|  PASSED  |3340680650
          sts_serial|   3|    100000|     100|0.68653184|  PASSED  |3340680650
          sts_serial|   3|    100000|     100|0.87553993|  PASSED  |3340680650
          sts_serial|   4|    100000|     100|0.34543606|  PASSED  |3340680650
          sts_serial|   4|    100000|     100|0.41743258|  PASSED  |3340680650
          sts_serial|   5|    100000|     100|0.05060940|  PASSED  |3340680650
          sts_serial|   5|    100000|     100|0.49958587|  PASSED  |3340680650
          sts_serial|   6|    100000|     100|0.42351309|  PASSED  |3340680650
          sts_serial|   6|    100000|     100|0.22453286|  PASSED  |3340680650
          sts_serial|   7|    100000|     100|0.65454961|  PASSED  |3340680650
          sts_serial|   7|    100000|     100|0.19170058|  PASSED  |3340680650
          sts_serial|   8|    100000|     100|0.28320251|  PASSED  |3340680650
          sts_serial|   8|    100000|     100|0.05082171|  PASSED  |3340680650
          sts_serial|   9|    100000|     100|0.30058043|  PASSED  |3340680650
          sts_serial|   9|    100000|     100|0.73807973|  PASSED  |3340680650
          sts_serial|  10|    100000|     100|0.57953890|  PASSED  |3340680650
          sts_serial|  10|    100000|     100|0.74050458|  PASSED  |3340680650
          sts_serial|  11|    100000|     100|0.65569399|  PASSED  |3340680650
          sts_serial|  11|    100000|     100|0.47613078|  PASSED  |3340680650
          sts_serial|  12|    100000|     100|0.55523889|  PASSED  |3340680650
          sts_serial|  12|    100000|     100|0.40006402|  PASSED  |3340680650
          sts_serial|  13|    100000|     100|0.67516184|  PASSED  |3340680650
          sts_serial|  13|    100000|     100|0.33717067|  PASSED  |3340680650
          sts_serial|  14|    100000|     100|0.91149467|  PASSED  |3340680650
          sts_serial|  14|    100000|     100|0.72993862|  PASSED  |3340680650
          sts_serial|  15|    100000|     100|0.73021959|  PASSED  |3340680650
          sts_serial|  15|    100000|     100|0.96289880|  PASSED  |3340680650
          sts_serial|  16|    100000|     100|0.59907024|  PASSED  |3340680650
          sts_serial|  16|    100000|     100|0.87959759|  PASSED  |3340680650
         rgb_bitdist|   1|    100000|     100|0.85688475|  PASSED  |  37521423
         rgb_bitdist|   2|    100000|     100|0.41575944|  PASSED  | 729680968
         rgb_bitdist|   3|    100000|     100|0.43487521|  PASSED  |3616570348
         rgb_bitdist|   4|    100000|     100|0.13622605|  PASSED  |3150276914
         rgb_bitdist|   5|    100000|     100|0.86022379|  PASSED  |4188271867
         rgb_bitdist|   6|    100000|     100|0.63844878|  PASSED  |2612199854
         rgb_bitdist|   7|    100000|     100|0.38584037|  PASSED  |2908443690
         rgb_bitdist|   8|    100000|     100|0.94767706|  PASSED  |2768502790
         rgb_bitdist|   9|    100000|     100|0.02794030|  PASSED  |1682731785
         rgb_bitdist|  10|    100000|     100|0.03421593|  PASSED  | 339231057
         rgb_bitdist|  11|    100000|     100|0.21389127|  PASSED  |3383276210
