go run ./container/rnd_stream.go -seed=1234567 | pv --bytes --timer | dieharder -a -g 200 -s 1
Seed: 1234567
Source: *source.SmallPrngSource
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.77e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.27828453|  PASSED  |3954808209
      diehard_operm5|   0|   1000000|     100|0.02278154|  PASSED  |2392684837
  diehard_rank_32x32|   0|     40000|     100|0.74297898|  PASSED  | 857196300
    diehard_rank_6x8|   0|    100000|     100|0.50305770|  PASSED  |1287090383
   diehard_bitstream|   0|   2097152|     100|0.20472623|  PASSED  |2969240849
        diehard_opso|   0|   2097152|     100|0.90386206|  PASSED  |1385073293
        diehard_oqso|   0|   2097152|     100|0.98993061|  PASSED  |  59781195
         diehard_dna|   0|   2097152|     100|0.59225264|  PASSED  |4164128458
diehard_count_1s_str|   0|    256000|     100|0.61178534|  PASSED  | 439427297
diehard_count_1s_byt|   0|    256000|     100|0.86305228|  PASSED  |2291085410
 diehard_parking_lot|   0|     12000|     100|0.95668914|  PASSED  | 979108474
    diehard_2dsphere|   2|      8000|     100|0.93362500|  PASSED  | 759700998
    diehard_3dsphere|   3|      4000|     100|0.98896501|  PASSED  |3150659490
     diehard_squeeze|   0|    100000|     100|0.90339174|  PASSED  |1700053214
        diehard_sums|   0|       100|     100|0.05139658|  PASSED  |1835538866
        diehard_runs|   0|    100000|     100|0.85570882|  PASSED  |1593934140
        diehard_runs|   0|    100000|     100|0.60120407|  PASSED  |1593934140
       diehard_craps|   0|    200000|     100|0.21118796|  PASSED  |2828469357
       diehard_craps|   0|    200000|     100|0.02321813|  PASSED  |2828469357
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07995611|  PASSED  |2904190709
 marsaglia_tsang_gcd|   0|  10000000|     100|0.22904327|  PASSED  |2904190709
         sts_monobit|   1|    100000|     100|0.73579347|  PASSED  | 701597927
