go run ./container/rnd_stream.go -seed=1234567 | pv --bytes --timer | dieharder -a -g 200 -s 1
Seed: 1234567
Source: *source.SplitMix64Source
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.58e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.97545747|  PASSED  |2297692971
      diehard_operm5|   0|   1000000|     100|0.80780428|  PASSED  |3016103746
  diehard_rank_32x32|   0|     40000|     100|0.47153114|  PASSED  | 725855472
    diehard_rank_6x8|   0|    100000|     100|0.12457527|  PASSED  |2381784000
   diehard_bitstream|   0|   2097152|     100|0.63535028|  PASSED  |2106902926
        diehard_opso|   0|   2097152|     100|0.38663463|  PASSED  |3879807583
        diehard_oqso|   0|   2097152|     100|0.81959858|  PASSED  | 398493730
         diehard_dna|   0|   2097152|     100|0.19165638|  PASSED  |3502023084
diehard_count_1s_str|   0|    256000|     100|0.98529133|  PASSED  |2931789108
diehard_count_1s_byt|   0|    256000|     100|0.93289131|  PASSED  | 960489930
 diehard_parking_lot|   0|     12000|     100|0.60849546|  PASSED  |2192771200
    diehard_2dsphere|   2|      8000|     100|0.46954770|  PASSED  | 755623598
    diehard_3dsphere|   3|      4000|     100|0.67153082|  PASSED  |1487831913
     diehard_squeeze|   0|    100000|     100|0.57242104|  PASSED  |1223225131
        diehard_sums|   0|       100|     100|0.06104739|  PASSED  | 845887770
        diehard_runs|   0|    100000|     100|0.06575675|  PASSED  |3839395569
        diehard_runs|   0|    100000|     100|0.00922042|  PASSED  |3839395569
       diehard_craps|   0|    200000|     100|0.56892138|  PASSED  |2200541909
       diehard_craps|   0|    200000|     100|0.30154497|  PASSED  |2200541909
 marsaglia_tsang_gcd|   0|  10000000|     100|0.70037078|  PASSED  |2036011499
 marsaglia_tsang_gcd|   0|  10000000|     100|0.14380973|  PASSED  |2036011499
         sts_monobit|   1|    100000|     100|0.24762380|  PASSED  |2354481479
            sts_runs|   2|    100000|     100|0.09296748|  PASSED  |3616090172
          sts_serial|   1|    100000|     100|0.05051542|  PASSED  |3200889175
          sts_serial|   2|    100000|     100|0.77811351|  PASSED  |3200889175
          sts_serial|   3|    100000|     100|0.40478228|  PASSED  |3200889175
          sts_serial|   3|    100000|     100|0.99042786|  PASSED  |3200889175
          sts_serial|   4|    100000|     100|0.45585764|  PASSED  |3200889175
          sts_serial|   4|    100000|     100|0.13494146|  PASSED  |3200889175
          sts_serial|   5|    100000|     100|0.95350254|  PASSED  |3200889175
          sts_serial|   5|    100000|     100|0.94152831|  PASSED  |3200889175
          sts_serial|   6|    100000|     100|0.55616578|  PASSED  |3200889175
          sts_serial|   6|    100000|     100|0.83935809|  PASSED  |3200889175
          sts_serial|   7|    100000|     100|0.72067965|  PASSED  |3200889175
          sts_serial|   7|    100000|     100|0.96834584|  PASSED  |3200889175
