Seed: 1234567
Source: *source.Squirrel3Prime64Source
19m10s: 229.05 Gb (203.95 Mb/s)
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  2.29e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91208752|  PASSED  |3904820416
      diehard_operm5|   0|   1000000|     100|0.03899238|  PASSED  | 247248731
  diehard_rank_32x32|   0|     40000|     100|0.79060526|  PASSED  | 495127216
    diehard_rank_6x8|   0|    100000|     100|0.56115626|  PASSED  |2011109600
   diehard_bitstream|   0|   2097152|     100|0.96179936|  PASSED  |4099723649
        diehard_opso|   0|   2097152|     100|0.84058352|  PASSED  |2436558683
        diehard_oqso|   0|   2097152|     100|0.98583220|  PASSED  |3397150939
         diehard_dna|   0|   2097152|     100|0.66389157|  PASSED  |2894771869
diehard_count_1s_str|   0|    256000|     100|0.19632108|  PASSED  | 676883439
diehard_count_1s_byt|   0|    256000|     100|0.70267549|  PASSED  | 763572983
 diehard_parking_lot|   0|     12000|     100|0.10116773|  PASSED  |3959676041
    diehard_2dsphere|   2|      8000|     100|0.07862040|  PASSED  |3967934972
    diehard_3dsphere|   3|      4000|     100|0.01364486|  PASSED  |4101222797
     diehard_squeeze|   0|    100000|     100|0.56964764|  PASSED  |4203094360
        diehard_sums|   0|       100|     100|0.06383116|  PASSED  |3761090899
        diehard_runs|   0|    100000|     100|0.41581371|  PASSED  |3440724688
        diehard_runs|   0|    100000|     100|0.85422520|  PASSED  |3440724688
       diehard_craps|   0|    200000|     100|0.06572546|  PASSED  |1338042773
       diehard_craps|   0|    200000|     100|0.45982872|  PASSED  |1338042773
 marsaglia_tsang_gcd|   0|  10000000|     100|0.53687003|  PASSED  |3095639689
 marsaglia_tsang_gcd|   0|  10000000|     100|0.54851515|  PASSED  |3095639689
         sts_monobit|   1|    100000|     100|0.97647336|  PASSED  |2193527729
            sts_runs|   2|    100000|     100|0.22093381|  PASSED  |2020970545
          sts_serial|   1|    100000|     100|0.47790609|  PASSED  |2028685413
          sts_serial|   2|    100000|     100|0.69504545|  PASSED  |2028685413
          sts_serial|   3|    100000|     100|0.32426069|  PASSED  |2028685413
          sts_serial|   3|    100000|     100|0.06105989|  PASSED  |2028685413
          sts_serial|   4|    100000|     100|0.81769251|  PASSED  |2028685413
          sts_serial|   4|    100000|     100|0.64477289|  PASSED  |2028685413
          sts_serial|   5|    100000|     100|0.91898458|  PASSED  |2028685413
          sts_serial|   5|    100000|     100|0.51851587|  PASSED  |2028685413
          sts_serial|   6|    100000|     100|0.69520338|  PASSED  |2028685413
          sts_serial|   6|    100000|     100|0.11579027|  PASSED  |2028685413
          sts_serial|   7|    100000|     100|0.03726268|  PASSED  |2028685413
          sts_serial|   7|    100000|     100|0.67183766|  PASSED  |2028685413
          sts_serial|   8|    100000|     100|0.62909125|  PASSED  |2028685413
          sts_serial|   8|    100000|     100|0.52353183|  PASSED  |2028685413
          sts_serial|   9|    100000|     100|0.51778494|  PASSED  |2028685413
          sts_serial|   9|    100000|     100|0.94519390|  PASSED  |2028685413
