Seed: 1234567
Source: *source.Squirrel3x2Source
19m50s: 228.73 Gb (196.82 Mb/s)
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  4.28e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.70257231|  PASSED  |  37682309
      diehard_operm5|   0|   1000000|     100|0.15399794|  PASSED  | 908635861
  diehard_rank_32x32|   0|     40000|     100|0.49726495|  PASSED  | 218012993
    diehard_rank_6x8|   0|    100000|     100|0.43274506|  PASSED  |1455290387
   diehard_bitstream|   0|   2097152|     100|0.82357500|  PASSED  |1233562391
        diehard_opso|   0|   2097152|     100|0.41987192|  PASSED  |3916760229
        diehard_oqso|   0|   2097152|     100|0.32272006|  PASSED  |2665794311
         diehard_dna|   0|   2097152|     100|0.11121004|  PASSED  |4052024529
diehard_count_1s_str|   0|    256000|     100|0.86078867|  PASSED  |3458420837
diehard_count_1s_byt|   0|    256000|     100|0.73092291|  PASSED  |2788194125
 diehard_parking_lot|   0|     12000|     100|0.96278710|  PASSED  |4263327756
    diehard_2dsphere|   2|      8000|     100|0.28336331|  PASSED  |3811102189
    diehard_3dsphere|   3|      4000|     100|0.43801662|  PASSED  | 376783982
     diehard_squeeze|   0|    100000|     100|0.65568377|  PASSED  |3876256578
        diehard_sums|   0|       100|     100|0.32809597|  PASSED  |2949975809
        diehard_runs|   0|    100000|     100|0.94511532|  PASSED  |3268505586
        diehard_runs|   0|    100000|     100|0.13951086|  PASSED  |3268505586
       diehard_craps|   0|    200000|     100|0.41698720|  PASSED  | 622372035
       diehard_craps|   0|    200000|     100|0.69863217|  PASSED  | 622372035
 marsaglia_tsang_gcd|   0|  10000000|     100|0.16453729|  PASSED  |1960540777
 marsaglia_tsang_gcd|   0|  10000000|     100|0.49843700|  PASSED  |1960540777
         sts_monobit|   1|    100000|     100|0.70846354|  PASSED  |1083775802
            sts_runs|   2|    100000|     100|0.97376392|  PASSED  |1766875815
          sts_serial|   1|    100000|     100|0.11053368|  PASSED  | 364346410
          sts_serial|   2|    100000|     100|0.76077691|  PASSED  | 364346410
          sts_serial|   3|    100000|     100|0.99677440|   WEAK   | 364346410
          sts_serial|   3|    100000|     100|0.99780547|   WEAK   | 364346410
          sts_serial|   4|    100000|     100|0.80147609|  PASSED  | 364346410
          sts_serial|   4|    100000|     100|0.48357267|  PASSED  | 364346410
          sts_serial|   5|    100000|     100|0.99135574|  PASSED  | 364346410
          sts_serial|   5|    100000|     100|0.25488586|  PASSED  | 364346410
