Seed: 1234567
Source: *source.SxmSource
19m10s: 228.82 Gb (203.75 Mb/s)
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  4.03e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.44125382|  PASSED  |2221060497
      diehard_operm5|   0|   1000000|     100|0.68641551|  PASSED  |3666560494
  diehard_rank_32x32|   0|     40000|     100|0.79816472|  PASSED  | 909928437
    diehard_rank_6x8|   0|    100000|     100|0.79299493|  PASSED  | 932289760
   diehard_bitstream|   0|   2097152|     100|0.66515026|  PASSED  |  73995327
        diehard_opso|   0|   2097152|     100|0.92178985|  PASSED  |  92842307
        diehard_oqso|   0|   2097152|     100|0.22314485|  PASSED  |1601696893
         diehard_dna|   0|   2097152|     100|0.16645058|  PASSED  | 217420410
diehard_count_1s_str|   0|    256000|     100|0.35208903|  PASSED  |2573594763
diehard_count_1s_byt|   0|    256000|     100|0.85048386|  PASSED  |1018841686
 diehard_parking_lot|   0|     12000|     100|0.11929168|  PASSED  |3148574561
    diehard_2dsphere|   2|      8000|     100|0.79757193|  PASSED  |2540994121
    diehard_3dsphere|   3|      4000|     100|0.61190434|  PASSED  |3015749795
     diehard_squeeze|   0|    100000|     100|0.14489897|  PASSED  |2763462360
        diehard_sums|   0|       100|     100|0.07980492|  PASSED  |1220593888
        diehard_runs|   0|    100000|     100|0.66963321|  PASSED  |2544689537
        diehard_runs|   0|    100000|     100|0.49124035|  PASSED  |2544689537
       diehard_craps|   0|    200000|     100|0.04062684|  PASSED  | 169486024
       diehard_craps|   0|    200000|     100|0.10187184|  PASSED  | 169486024
 marsaglia_tsang_gcd|   0|  10000000|     100|0.97292684|  PASSED  |2261294497
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79649325|  PASSED  |2261294497
         sts_monobit|   1|    100000|     100|0.32991796|  PASSED  |1710673201
            sts_runs|   2|    100000|     100|0.80886808|  PASSED  |3418931169
          sts_serial|   1|    100000|     100|0.77699792|  PASSED  |4225635451
          sts_serial|   2|    100000|     100|0.73360525|  PASSED  |4225635451
          sts_serial|   3|    100000|     100|0.95003016|  PASSED  |4225635451
          sts_serial|   3|    100000|     100|0.36246186|  PASSED  |4225635451
          sts_serial|   4|    100000|     100|0.66822576|  PASSED  |4225635451
          sts_serial|   4|    100000|     100|0.67206931|  PASSED  |4225635451
          sts_serial|   5|    100000|     100|0.74898971|  PASSED  |4225635451
          sts_serial|   5|    100000|     100|0.43215169|  PASSED  |4225635451
          sts_serial|   6|    100000|     100|0.91171725|  PASSED  |4225635451
          sts_serial|   6|    100000|     100|0.35459978|  PASSED  |4225635451
          sts_serial|   7|    100000|     100|0.63125076|  PASSED  |4225635451
          sts_serial|   7|    100000|     100|0.58261883|  PASSED  |4225635451
          sts_serial|   8|    100000|     100|0.22832492|  PASSED  |4225635451
          sts_serial|   8|    100000|     100|0.57126062|  PASSED  |4225635451
          sts_serial|   9|    100000|     100|0.09880341|  PASSED  |4225635451
          sts_serial|   9|    100000|     100|0.48868556|  PASSED  |4225635451
          sts_serial|  10|    100000|     100|0.28234259|  PASSED  |4225635451
          sts_serial|  10|    100000|     100|0.97297219|  PASSED  |4225635451
          sts_serial|  11|    100000|     100|0.24031585|  PASSED  |4225635451
          sts_serial|  11|    100000|     100|0.90408097|  PASSED  |4225635451
          sts_serial|  12|    100000|     100|0.35672389|  PASSED  |4225635451
          sts_serial|  12|    100000|     100|0.54257521|  PASSED  |4225635451
          sts_serial|  13|    100000|     100|0.58177171|  PASSED  |4225635451
          sts_serial|  13|    100000|     100|0.07186812|  PASSED  |4225635451
