go run ./container/rnd_stream.go -seed=1234567 | pv --bytes --timer | dieharder -a -g 200 -s 1
Seed: 1234567
Source: *source.Xoshiro256ssSource
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.25e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.94527448|  PASSED  |2883008450
      diehard_operm5|   0|   1000000|     100|0.13488059|  PASSED  |3406265811
  diehard_rank_32x32|   0|     40000|     100|0.42472560|  PASSED  |1988601198
    diehard_rank_6x8|   0|    100000|     100|0.36022898|  PASSED  | 503066005
   diehard_bitstream|   0|   2097152|     100|0.60936268|  PASSED  |2411569964
        diehard_opso|   0|   2097152|     100|0.49631819|  PASSED  |3135529978
        diehard_oqso|   0|   2097152|     100|0.81988435|  PASSED  |1996457166
         diehard_dna|   0|   2097152|     100|0.15418890|  PASSED  |1654438033
diehard_count_1s_str|   0|    256000|     100|0.89708325|  PASSED  | 929151280
diehard_count_1s_byt|   0|    256000|     100|0.96578441|  PASSED  |2910895310
 diehard_parking_lot|   0|     12000|     100|0.87273794|  PASSED  | 699830095
    diehard_2dsphere|   2|      8000|     100|0.35458348|  PASSED  |4204586878
    diehard_3dsphere|   3|      4000|     100|0.32952502|  PASSED  |2702193219
     diehard_squeeze|   0|    100000|     100|0.44332821|  PASSED  | 311817776
        diehard_sums|   0|       100|     100|0.00105119|   WEAK   |3482062882
        diehard_runs|   0|    100000|     100|0.50667639|  PASSED  | 151958264
        diehard_runs|   0|    100000|     100|0.22864309|  PASSED  | 151958264
       diehard_craps|   0|    200000|     100|0.93406311|  PASSED  |2170409140
       diehard_craps|   0|    200000|     100|0.65289061|  PASSED  |2170409140
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20006444|  PASSED  |2933399536
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87469538|  PASSED  |2933399536
         sts_monobit|   1|    100000|     100|0.59872294|  PASSED  |3380070428
            sts_runs|   2|    100000|     100|0.78690902|  PASSED  |2697659244
          sts_serial|   1|    100000|     100|0.99733284|   WEAK   | 385098018
          sts_serial|   2|    100000|     100|0.55816667|  PASSED  | 385098018
          sts_serial|   3|    100000|     100|0.43988611|  PASSED  | 385098018
          sts_serial|   3|    100000|     100|0.04430955|  PASSED  | 385098018
          sts_serial|   4|    100000|     100|0.87485122|  PASSED  | 385098018
          sts_serial|   4|    100000|     100|0.31914534|  PASSED  | 385098018
          sts_serial|   5|    100000|     100|0.30999107|  PASSED  | 385098018
          sts_serial|   5|    100000|     100|0.18167324|  PASSED  | 385098018
          sts_serial|   6|    100000|     100|0.71810763|  PASSED  | 385098018
          sts_serial|   6|    100000|     100|0.64156849|  PASSED  | 385098018
          sts_serial|   7|    100000|     100|0.46939400|  PASSED  | 385098018
          sts_serial|   7|    100000|     100|0.99813463|   WEAK   | 385098018
          sts_serial|   8|    100000|     100|0.70838619|  PASSED  | 385098018
          sts_serial|   8|    100000|     100|0.62643474|  PASSED  | 385098018
          sts_serial|   9|    100000|     100|0.43680580|  PASSED  | 385098018
          sts_serial|   9|    100000|     100|0.06603197|  PASSED  | 385098018
          sts_serial|  10|    100000|     100|0.65353631|  PASSED  | 385098018
          sts_serial|  10|    100000|     100|0.30886953|  PASSED  | 385098018
          sts_serial|  11|    100000|     100|0.99750481|   WEAK   | 385098018
          sts_serial|  11|    100000|     100|0.73997066|  PASSED  | 385098018
          sts_serial|  12|    100000|     100|0.75593793|  PASSED  | 385098018
          sts_serial|  12|    100000|     100|0.40540689|  PASSED  | 385098018
          sts_serial|  13|    100000|     100|0.11802388|  PASSED  | 385098018
          sts_serial|  13|    100000|     100|0.08407456|  PASSED  | 385098018
          sts_serial|  14|    100000|     100|0.68677497|  PASSED  | 385098018
          sts_serial|  14|    100000|     100|0.65263493|  PASSED  | 385098018
          sts_serial|  15|    100000|     100|0.87738591|  PASSED  | 385098018
          sts_serial|  15|    100000|     100|0.89041697|  PASSED  | 385098018
          sts_serial|  16|    100000|     100|0.26668219|  PASSED  | 385098018
          sts_serial|  16|    100000|     100|0.91602668|  PASSED  | 385098018
         rgb_bitdist|   1|    100000|     100|0.60299334|  PASSED  |2680064720
