go run ./container/rnd_stream.go -seed=1234567 | pv --bytes --timer | dieharder -a -g 200 -s 1
Seed: 1234567
Source: *rand.rngSource
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  2.22e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.52260089|  PASSED  | 741780853
      diehard_operm5|   0|   1000000|     100|0.84119216|  PASSED  |2073122131
  diehard_rank_32x32|   0|     40000|     100|0.21993647|  PASSED  | 741495934
    diehard_rank_6x8|   0|    100000|     100|0.72776998|  PASSED  | 442400938
   diehard_bitstream|   0|   2097152|     100|0.00082864|   WEAK   |  66323034
        diehard_opso|   0|   2097152|     100|0.20220124|  PASSED  |4145344889
        diehard_oqso|   0|   2097152|     100|0.91043872|  PASSED  | 874713257
         diehard_dna|   0|   2097152|     100|0.72747834|  PASSED  |2343614725
diehard_count_1s_str|   0|    256000|     100|0.21371408|  PASSED  | 911713743
diehard_count_1s_byt|   0|    256000|     100|0.08800506|  PASSED  | 953002894
 diehard_parking_lot|   0|     12000|     100|0.30667204|  PASSED  |3135207977
    diehard_2dsphere|   2|      8000|     100|0.68307524|  PASSED  |1684347234
    diehard_3dsphere|   3|      4000|     100|0.76585347|  PASSED  | 396802024
     diehard_squeeze|   0|    100000|     100|0.61280722|  PASSED  |   1922019
        diehard_sums|   0|       100|     100|0.01084881|  PASSED  |3502986992
        diehard_runs|   0|    100000|     100|0.65822889|  PASSED  |1847683040
        diehard_runs|   0|    100000|     100|0.51175718|  PASSED  |1847683040
       diehard_craps|   0|    200000|     100|0.57782092|  PASSED  |2095849995
       diehard_craps|   0|    200000|     100|0.58002363|  PASSED  |2095849995
 marsaglia_tsang_gcd|   0|  10000000|     100|0.25702902|  PASSED  |3488296684
 marsaglia_tsang_gcd|   0|  10000000|     100|0.28507419|  PASSED  |3488296684
         sts_monobit|   1|    100000|     100|0.99968297|   WEAK   |3343675562
            sts_runs|   2|    100000|     100|0.23485923|  PASSED  |2478341582
          sts_serial|   1|    100000|     100|0.96485493|  PASSED  |1567140662
