#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  2.27e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.34298230|  PASSED  |1706077460
      diehard_operm5|   0|   1000000|     100|0.97668659|  PASSED  |3159435425
  diehard_rank_32x32|   0|     40000|     100|0.89925272|  PASSED  |1830277351
    diehard_rank_6x8|   0|    100000|     100|0.88268902|  PASSED  |1921561908
   diehard_bitstream|   0|   2097152|     100|0.76136637|  PASSED  |  12552081
        diehard_opso|   0|   2097152|     100|0.82574922|  PASSED  | 191484029
        diehard_oqso|   0|   2097152|     100|0.96565110|  PASSED  |2182327188
         diehard_dna|   0|   2097152|     100|0.05819007|  PASSED  |1122590733
diehard_count_1s_str|   0|    256000|     100|0.64676390|  PASSED  | 942960793
diehard_count_1s_byt|   0|    256000|     100|0.62244774|  PASSED  | 989467528
 diehard_parking_lot|   0|     12000|     100|0.30667204|  PASSED  |2771007017
    diehard_2dsphere|   2|      8000|     100|0.95592131|  PASSED  |1979171010
    diehard_3dsphere|   3|      4000|     100|0.59083758|  PASSED  |3566446634
     diehard_squeeze|   0|    100000|     100|0.99992985|   WEAK   |2408734163
        diehard_sums|   0|       100|     100|0.16206538|  PASSED  |3104371699
        diehard_runs|   0|    100000|     100|0.93301495|  PASSED  |1035229838
        diehard_runs|   0|    100000|     100|0.53063947|  PASSED  |1035229838
       diehard_craps|   0|    200000|     100|0.49046417|  PASSED  |2152445877
       diehard_craps|   0|    200000|     100|0.58421982|  PASSED  |2152445877
 marsaglia_tsang_gcd|   0|  10000000|     100|0.69720579|  PASSED  |2814980462
 marsaglia_tsang_gcd|   0|  10000000|     100|0.23784679|  PASSED  |2814980462
         sts_monobit|   1|    100000|     100|0.19286699|  PASSED  |2669512414
            sts_runs|   2|    100000|     100|0.09862178|  PASSED  | 535278987
          sts_serial|   1|    100000|     100|0.95529937|  PASSED  |2248826939
          sts_serial|   2|    100000|     100|0.61835530|  PASSED  |2248826939
          sts_serial|   3|    100000|     100|0.19239140|  PASSED  |2248826939
