
Seed: 1234567
Source: *source.NoiseSource
19m50s: 229.25 Gb (197.27 Mb/s)

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  2.53e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.64669989|  PASSED  |3350424014
      diehard_operm5|   0|   1000000|     100|0.10414710|  PASSED  |2371394179
  diehard_rank_32x32|   0|     40000|     100|0.11635810|  PASSED  |1511897669
    diehard_rank_6x8|   0|    100000|     100|0.38139244|  PASSED  |3459843405
   diehard_bitstream|   0|   2097152|     100|0.88316789|  PASSED  |1119920625
        diehard_opso|   0|   2097152|     100|0.80973280|  PASSED  |3718205024
        diehard_oqso|   0|   2097152|     100|0.29454778|  PASSED  |3388280743
         diehard_dna|   0|   2097152|     100|0.41221629|  PASSED  |2755048762
diehard_count_1s_str|   0|    256000|     100|0.34941887|  PASSED  |1525868414
diehard_count_1s_byt|   0|    256000|     100|0.38439812|  PASSED  |1987802782
 diehard_parking_lot|   0|     12000|     100|0.96238980|  PASSED  |4172686996
    diehard_2dsphere|   2|      8000|     100|0.31982186|  PASSED  |3862914058
    diehard_3dsphere|   3|      4000|     100|0.69510416|  PASSED  | 549636674
     diehard_squeeze|   0|    100000|     100|0.62447180|  PASSED  | 923161202
        diehard_sums|   0|       100|     100|0.18290136|  PASSED  |2710134908
        diehard_runs|   0|    100000|     100|0.57179277|  PASSED  | 203712397
        diehard_runs|   0|    100000|     100|0.55407761|  PASSED  | 203712397
       diehard_craps|   0|    200000|     100|0.11138001|  PASSED  | 427026584
       diehard_craps|   0|    200000|     100|0.50520881|  PASSED  | 427026584
 marsaglia_tsang_gcd|   0|  10000000|     100|0.59529534|  PASSED  |3795149025
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95094068|  PASSED  |3795149025
         sts_monobit|   1|    100000|     100|0.41776456|  PASSED  |1191391409
            sts_runs|   2|    100000|     100|0.53143480|  PASSED  |4192022478
          sts_serial|   1|    100000|     100|0.63086449|  PASSED  |1551366962
          sts_serial|   2|    100000|     100|0.20513582|  PASSED  |1551366962
          sts_serial|   3|    100000|     100|0.06274332|  PASSED  |1551366962
          sts_serial|   3|    100000|     100|0.25858869|  PASSED  |1551366962
          sts_serial|   4|    100000|     100|0.76430816|  PASSED  |1551366962
          sts_serial|   4|    100000|     100|0.22122542|  PASSED  |1551366962
          sts_serial|   5|    100000|     100|0.45554177|  PASSED  |1551366962
          sts_serial|   5|    100000|     100|0.30180547|  PASSED  |1551366962
