go run ./container/rnd_stream.go | pv --bytes --timer | dieharder -a -g 200 -s 1
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.11e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.53365170|  PASSED  |3594123315
      diehard_operm5|   0|   1000000|     100|0.57277294|  PASSED  |1722558100
  diehard_rank_32x32|   0|     40000|     100|0.98706878|  PASSED  |3845791088
    diehard_rank_6x8|   0|    100000|     100|0.74869484|  PASSED  |2083591924
   diehard_bitstream|   0|   2097152|     100|0.62788669|  PASSED  |2997577845
        diehard_opso|   0|   2097152|     100|0.74266493|  PASSED  | 981444654
        diehard_oqso|   0|   2097152|     100|0.18636189|  PASSED  | 427584755
         diehard_dna|   0|   2097152|     100|0.39819705|  PASSED  |1253023874
diehard_count_1s_str|   0|    256000|     100|0.66950432|  PASSED  |2696227114
diehard_count_1s_byt|   0|    256000|     100|0.60415970|  PASSED  |3321404570
 diehard_parking_lot|   0|     12000|     100|0.02879366|  PASSED  | 438949252
    diehard_2dsphere|   2|      8000|     100|0.95868266|  PASSED  | 708148757
    diehard_3dsphere|   3|      4000|     100|0.79349957|  PASSED  |3766764766
     diehard_squeeze|   0|    100000|     100|0.75750358|  PASSED  |1596078687
        diehard_sums|   0|       100|     100|0.00009807|   WEAK   | 718165750
        diehard_runs|   0|    100000|     100|0.40912633|  PASSED  |3370384539
        diehard_runs|   0|    100000|     100|0.12959691|  PASSED  |3370384539
       diehard_craps|   0|    200000|     100|0.93640419|  PASSED  |1177973621
       diehard_craps|   0|    200000|     100|0.18123199|  PASSED  |1177973621
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93427193|  PASSED  | 118419167
 marsaglia_tsang_gcd|   0|  10000000|     100|0.12408183|  PASSED  | 118419167
         sts_monobit|   1|    100000|     100|0.66517328|  PASSED  |3701160584
            sts_runs|   2|    100000|     100|0.22448633|  PASSED  |3740175905
          sts_serial|   1|    100000|     100|0.99554253|   WEAK   |2778052724
          sts_serial|   2|    100000|     100|0.77482838|  PASSED  |2778052724
          sts_serial|   3|    100000|     100|0.72602439|  PASSED  |2778052724
          sts_serial|   3|    100000|     100|0.99964377|   WEAK   |2778052724
          sts_serial|   4|    100000|     100|0.83078341|  PASSED  |2778052724
          sts_serial|   4|    100000|     100|0.98951208|  PASSED  |2778052724
          sts_serial|   5|    100000|     100|0.95587085|  PASSED  |2778052724
          sts_serial|   5|    100000|     100|0.91931858|  PASSED  |2778052724
          sts_serial|   6|    100000|     100|0.85832312|  PASSED  |2778052724
          sts_serial|   6|    100000|     100|0.72843414|  PASSED  |2778052724
          sts_serial|   7|    100000|     100|0.80039274|  PASSED  |2778052724
          sts_serial|   7|    100000|     100|0.46255098|  PASSED  |2778052724
          sts_serial|   8|    100000|     100|0.16985940|  PASSED  |2778052724
          sts_serial|   8|    100000|     100|0.04812884|  PASSED  |2778052724
          sts_serial|   9|    100000|     100|0.13402214|  PASSED  |2778052724
          sts_serial|   9|    100000|     100|0.75235308|  PASSED  |2778052724
          sts_serial|  10|    100000|     100|0.99703653|   WEAK   |2778052724
          sts_serial|  10|    100000|     100|0.29376159|  PASSED  |2778052724
          sts_serial|  11|    100000|     100|0.36651736|  PASSED  |2778052724
          sts_serial|  11|    100000|     100|0.75457779|  PASSED  |2778052724
          sts_serial|  12|    100000|     100|0.40623211|  PASSED  |2778052724
          sts_serial|  12|    100000|     100|0.44467208|  PASSED  |2778052724
          sts_serial|  13|    100000|     100|0.74793570|  PASSED  |2778052724
          sts_serial|  13|    100000|     100|0.84383848|  PASSED  |2778052724
          sts_serial|  14|    100000|     100|0.25602399|  PASSED  |2778052724
          sts_serial|  14|    100000|     100|0.47435872|  PASSED  |2778052724
          sts_serial|  15|    100000|     100|0.99770500|   WEAK   |2778052724
          sts_serial|  15|    100000|     100|0.29657909|  PASSED  |2778052724
          sts_serial|  16|    100000|     100|0.94878778|  PASSED  |2778052724
          sts_serial|  16|    100000|     100|0.98311869|  PASSED  |2778052724
         rgb_bitdist|   1|    100000|     100|0.47834068|  PASSED  |4277725642
         rgb_bitdist|   2|    100000|     100|0.09087170|  PASSED  | 413516381
         rgb_bitdist|   3|    100000|     100|0.13705580|  PASSED  | 401155434
         rgb_bitdist|   4|    100000|     100|0.32122900|  PASSED  |1728795786
         rgb_bitdist|   5|    100000|     100|0.73776075|  PASSED  |2488230904
         rgb_bitdist|   6|    100000|     100|0.57526983|  PASSED  |4245751081
         rgb_bitdist|   7|    100000|     100|0.94062169|  PASSED  |3182197918
         rgb_bitdist|   8|    100000|     100|0.19708236|  PASSED  |2238324929
         rgb_bitdist|   9|    100000|     100|0.85633147|  PASSED  |1795138661
         rgb_bitdist|  10|    100000|     100|0.77631201|  PASSED  |2287189281
         rgb_bitdist|  11|    100000|     100|0.26708898|  PASSED  | 198597693
         rgb_bitdist|  12|    100000|     100|0.36188522|  PASSED  |3558906956
