#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  4.89e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.83806253|  PASSED  |4116373937
      diehard_operm5|   0|   1000000|     100|0.70289637|  PASSED  |1419588521
  diehard_rank_32x32|   0|     40000|     100|0.28511794|  PASSED  |1465553518
    diehard_rank_6x8|   0|    100000|     100|0.06918846|  PASSED  | 521248182
   diehard_bitstream|   0|   2097152|     100|0.29117729|  PASSED  | 956520635
        diehard_opso|   0|   2097152|     100|0.04055398|  PASSED  |4228341229
        diehard_oqso|   0|   2097152|     100|0.05567905|  PASSED  |  40174903
         diehard_dna|   0|   2097152|     100|0.32071225|  PASSED  |2917783206
diehard_count_1s_str|   0|    256000|     100|0.12883276|  PASSED  |1861444798
diehard_count_1s_byt|   0|    256000|     100|0.44306113|  PASSED  |3204663938
 diehard_parking_lot|   0|     12000|     100|0.13734140|  PASSED  | 798612692
    diehard_2dsphere|   2|      8000|     100|0.94000070|  PASSED  | 345605089
    diehard_3dsphere|   3|      4000|     100|0.42442101|  PASSED  |1785998028
     diehard_squeeze|   0|    100000|     100|0.20302391|  PASSED  |3756971196
        diehard_sums|   0|       100|     100|0.09154858|  PASSED  |3488404434
        diehard_runs|   0|    100000|     100|0.16822187|  PASSED  | 677476052
        diehard_runs|   0|    100000|     100|0.35028231|  PASSED  | 677476052
       diehard_craps|   0|    200000|     100|0.21622968|  PASSED  | 591239916
       diehard_craps|   0|    200000|     100|0.95257763|  PASSED  | 591239916
 marsaglia_tsang_gcd|   0|  10000000|     100|0.12742978|  PASSED  |1046128327
 marsaglia_tsang_gcd|   0|  10000000|     100|0.64114125|  PASSED  |1046128327
         sts_monobit|   1|    100000|     100|0.61597699|  PASSED  | 303171968
            sts_runs|   2|    100000|     100|0.28652422|  PASSED  |2816079120
          sts_serial|   1|    100000|     100|0.46773050|  PASSED  | 636403270
          sts_serial|   2|    100000|     100|0.19618559|  PASSED  | 636403270
          sts_serial|   3|    100000|     100|0.63707557|  PASSED  | 636403270
          sts_serial|   3|    100000|     100|0.44062024|  PASSED  | 636403270
          sts_serial|   4|    100000|     100|0.44158074|  PASSED  | 636403270
          sts_serial|   4|    100000|     100|0.46989074|  PASSED  | 636403270
          sts_serial|   5|    100000|     100|0.02558373|  PASSED  | 636403270
          sts_serial|   5|    100000|     100|0.15036313|  PASSED  | 636403270
          sts_serial|   6|    100000|     100|0.29838506|  PASSED  | 636403270
          sts_serial|   6|    100000|     100|0.92344600|  PASSED  | 636403270
          sts_serial|   7|    100000|     100|0.99482864|  PASSED  | 636403270
          sts_serial|   7|    100000|     100|0.13595443|  PASSED  | 636403270
          sts_serial|   8|    100000|     100|0.57223361|  PASSED  | 636403270
          sts_serial|   8|    100000|     100|0.62445447|  PASSED  | 636403270
          sts_serial|   9|    100000|     100|0.26603418|  PASSED  | 636403270
          sts_serial|   9|    100000|     100|0.11401769|  PASSED  | 636403270
          sts_serial|  10|    100000|     100|0.20492505|  PASSED  | 636403270
          sts_serial|  10|    100000|     100|0.17910132|  PASSED  | 636403270
          sts_serial|  11|    100000|     100|0.13776501|  PASSED  | 636403270
          sts_serial|  11|    100000|     100|0.54676517|  PASSED  | 636403270
          sts_serial|  12|    100000|     100|0.11685046|  PASSED  | 636403270
          sts_serial|  12|    100000|     100|0.72110921|  PASSED  | 636403270
          sts_serial|  13|    100000|     100|0.95710538|  PASSED  | 636403270
          sts_serial|  13|    100000|     100|0.36863236|  PASSED  | 636403270
          sts_serial|  14|    100000|     100|0.92690910|  PASSED  | 636403270
          sts_serial|  14|    100000|     100|0.90536172|  PASSED  | 636403270
          sts_serial|  15|    100000|     100|0.22596830|  PASSED  | 636403270
          sts_serial|  15|    100000|     100|0.41170354|  PASSED  | 636403270
          sts_serial|  16|    100000|     100|0.60890818|  PASSED  | 636403270
          sts_serial|  16|    100000|     100|0.50471630|  PASSED  | 636403270
         rgb_bitdist|   1|    100000|     100|0.92806170|  PASSED  |2966306323
         rgb_bitdist|   2|    100000|     100|0.12960373|  PASSED  | 606179339
         rgb_bitdist|   3|    100000|     100|0.22000693|  PASSED  |4269102690
         rgb_bitdist|   4|    100000|     100|0.77537215|  PASSED  |3644338179
         rgb_bitdist|   5|    100000|     100|0.38002317|  PASSED  | 702327675
         rgb_bitdist|   6|    100000|     100|0.61243251|  PASSED  |3763091921
         rgb_bitdist|   7|    100000|     100|0.66789181|  PASSED  |1744394056
         rgb_bitdist|   8|    100000|     100|0.40125504|  PASSED  |4100659369
         rgb_bitdist|   9|    100000|     100|0.20520534|  PASSED  | 860300651
         rgb_bitdist|  10|    100000|     100|0.96584323|  PASSED  |4294624432
         rgb_bitdist|  11|    100000|     100|0.44371519|  PASSED  |3776808351
         rgb_bitdist|  12|    100000|     100|0.38121728|  PASSED  |1186005267
rgb_minimum_distance|   2|     10000|    1000|0.92220202|  PASSED  |2758674002
rgb_minimum_distance|   3|     10000|    1000|0.73379305|  PASSED  |3132474991
