#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
stdin_input_raw|  1.51e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.05966441|  PASSED  |1872320150
      diehard_operm5|   0|   1000000|     100|0.75472973|  PASSED  |2082204296
  diehard_rank_32x32|   0|     40000|     100|0.02396762|  PASSED  |4179739710
    diehard_rank_6x8|   0|    100000|     100|0.70967421|  PASSED  |1473366137
   diehard_bitstream|   0|   2097152|     100|0.41011818|  PASSED  |2896570107
        diehard_opso|   0|   2097152|     100|0.69968878|  PASSED  | 365117073
        diehard_oqso|   0|   2097152|     100|0.66074398|  PASSED  |  68053592
         diehard_dna|   0|   2097152|     100|0.09682145|  PASSED  |1606173939
diehard_count_1s_str|   0|    256000|     100|0.45022980|  PASSED  |1121680963
diehard_count_1s_byt|   0|    256000|     100|0.87112197|  PASSED  |2547589018
 diehard_parking_lot|   0|     12000|     100|0.14615348|  PASSED  |1659761491
    diehard_2dsphere|   2|      8000|     100|0.22564522|  PASSED  |1802616067
    diehard_3dsphere|   3|      4000|     100|0.56250776|  PASSED  |3953551267
     diehard_squeeze|   0|    100000|     100|0.89861563|  PASSED  |1809229335
        diehard_sums|   0|       100|     100|0.07465602|  PASSED  | 348439011
        diehard_runs|   0|    100000|     100|0.39388045|  PASSED  |2273032151
        diehard_runs|   0|    100000|     100|0.23672857|  PASSED  |2273032151
       diehard_craps|   0|    200000|     100|0.28127429|  PASSED  | 933731179
       diehard_craps|   0|    200000|     100|0.61440108|  PASSED  | 933731179
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51449159|  PASSED  |3213012922
 marsaglia_tsang_gcd|   0|  10000000|     100|0.81623486|  PASSED  |3213012922
         sts_monobit|   1|    100000|     100|0.67084731|  PASSED  |2812811164
            sts_runs|   2|    100000|     100|0.30904047|  PASSED  |2925489842
          sts_serial|   1|    100000|     100|0.12811919|  PASSED  |1559759409
          sts_serial|   2|    100000|     100|0.05169566|  PASSED  |1559759409
